title,price,area,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"House for sale at Kalanki, Kathmandu",Negotiable,sq m0-3-0-0,"Kalanki, Kathmandu",Kathmandu,2.5,9,,3,,,1,https://99aana.com/property/house-for-sale-at-kalanki-kathmandu-8522/
"House for sale at Mahankal, Boudha, Kathmandu","Rs.37,000,000",sq m0-4-0-0,"Mahankal, Boudha, Kathmandu",Kathmandu,3.5,15,8,6,,,1,https://99aana.com/property/house-for-sale-at-mahankal-boudha-kathmandu-8520/
"House for sale at Narayanthan, Budhanilkantha, Kathmandu","Rs.90,000,000",sq m1-2-0-0,"Narayanthan, Budhanilkantha, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-narayanthan-budhanilkantha-kathmandu-8525/
"House for sale at Bhangal, Budhanilkantha-08, Kathmandu","Rs.16,500,000",sq m0-3-0-0,"Bhangal, Budhanilkantha-08, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-bhangal-budhanilkantha-08-kathmandu-8511/
House for sale at Baluwatar Kathmandu,Negotiable,sq m0-5-0-0,"Baluwatar, Kathmandu",Kathmandu,2.5,7,3,3,,2,1,https://99aana.com/property/house-for-sale-at-baluwatar-kathmandu-8510/
"House for sale at Bhangal, Budhanilkantha, Kathmandu","Rs.32,500,000",sq m0-5-0-0,"Bhangal, Budhanilkantha, Kathmandu",Kathmandu,2.5,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-bhangal-budhanilkantha-kathmandu-8509/
"House for sale at Milan Tole, Duwakot, Bhaktapur","Rs.24,000,000",sq m0-5-0-0,"Milan tole, Duwakot, Bhaktapur",Bhaktapur,3,11,,3,,,1,https://99aana.com/property/house-for-sale-at-milan-tole-duwakot-bhaktapur-8508/
"House for Sale at Naxal, Kathmandu","Rs.78,000,000",sq m0-4-3-2,"Naxal, Kathmandu",Kathmandu,4,,,,,,1,https://99aana.com/property/house-for-sale-at-naxal-kathmandu-8515/
"House for sale at TiKathali, Lalitpur",Rs. 1 crore and 45 lakhs,sq m0-4-0-0,"TiKathali, Lalitpur",Lalitpur,1,,,,,,,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-8506/
"House for sale at Kapan, Budhanilkantha, Kathmandu","Rs.35,000,000",sq m0-6-2-0,"Kapan, Budhanilkantha, Kathmandu",Kathmandu,2.5,10,,3,,,1,https://99aana.com/property/house-for-sale-at-kapan-budhanilkantha-kathmandu-8502/
"House for sale at Baluwakhani, Kapan, Budhanilkantha-10, Kathmandu","Rs.32,500,000",sq m0-5-0-0,"Baluwakhani, Kapan, Budhanilkantha-10, Kathmandu",Kathmandu,2.5,11,,3,,,1,https://99aana.com/property/house-for-sale-at-baluwakhani-kapan-budhanilkantha-10-kathmandu-8499/
"House for sale at Sitapaila, Kathmandu","Rs.25,600,000",sq m0-4-0-0,"Sitapaila, Kathmandu",Kathmandu,3.5,14,,4,,,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-8498/
"House for sale at Imadol, Lalitpur",Rs 2 crore and 5 lakhs,sq m0-3-0-0,"Imadol, Lalitpur",Lalitpur,3,,8,3,,,,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8495/
"House for Sale at Pokhara, Kaski",Negotiable,sq m0-6-0-0,"Pokhara, Kaski",Kaski,1,4,,,,,1,https://99aana.com/property/house-for-sale-at-pokhara-kaski-8492/
"House for Sale at Mandikhatar, Kathmandu","Rs.24,000,000",sq m0-4-0-0,"Mandikhatar, Kathmandu",Kathmandu,2.5,10,,3,,,1,https://99aana.com/property/house-for-sale-at-mandikhatar-kathmandu-8486/
"House for sale at TiKathali, Lalitpur","Rs.1,200,000",sq m0-3-0-0,"TiKathali, Lalitpur",Lalitpur,1.5,4,2,1,,,,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-8484/
"House for sale at Dhapasi Height, Kathmandu","Rs.40,000,000",sq m0-6-0-0,"Dhapasi Height, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-dhapasi-height-kathmandu-8480/
"House for sale at Chunikhel, Kathmandu","Rs.14,500,000",sq m0-3-0-0,"Chunikhel, Kathmandu",Kathmandu,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-chunikhel-kathmandu-8478/
"House for sale at Sitapaila, Kathmandu","Rs.16,500,000",sq m0-3-3-0,"Sitapaila, Kathmandu",Kathmandu,2.5,8,,,,,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-8476/
"House for Sale at Goldhunga, Kathmandu","Rs.14,500,000",sq m0-5-0-0,"Goldhunga, Kathmandu",Kathmandu,2,10,5,2,,,1,https://99aana.com/property/house-for-sale-at-goldhunga-kathmandu-8469/
"House for sale at Bagdol, Lalitpur","Rs.30,000,000",sq m0-5-0-0,"Bagdol, Lalitpur",Lalitpur,2.5,8,4,5,1,2,1,https://99aana.com/property/house-for-sale-at-bagdol-lalitpur-8466/
"House for Sale at Baluwakhani, Kapan, Kathmandu","Rs.25,000,000",sq m0-3-2-0,"Baluwakhani, Kapan, Kathmandu",Kathmandu,2.5,10,5,3,,,1,https://99aana.com/property/house-for-sale-at-baluwakhani-kapan-kathmandu-8467/
"House for sale at Basundhara, Kathmandu","Rs.33,000,000",sq m0-4-2-0,"Basundhara, Kathmandu",Kathmandu,3,13,6,6,,1,1,https://99aana.com/property/house-for-sale-at-basundhara-kathmandu-8465/
"Residential house for sale at Tangal, Kathmandu",Rs. 12 crore,sq m1-0-0-0,"Tangal, Kathmandu",Kathmandu,2.5,7,3,3,, 3,,https://99aana.com/property/residential-house-for-sale-at-tangal-kathmandu-8460/
"House for Sale at Pepsicola, Kathmandu","Rs.22,500,000",sq m0-3-0-0,"Pepsicola, Kathmandu",Kathmandu,4.5,15,,,,,1,https://99aana.com/property/house-for-sale-at-pepsicola-kathmandu-8462/
"House for Sale at Kageshwori Manohara, Kathmandu","Rs.27,000,000",sq m0-4-2-0,"Kageshwori Manohara, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-kageshwori-manohara-kathmandu-8459/
"House for Sale at Dhungedhara-Sano Bharyang, Kathmandu","Rs.55,000,000",sq m0-6-0-0,"Dhungedhara-Sano Bharyang, Kathmandu",Kathmandu,2.5,3,5,4,,2,1,https://99aana.com/property/house-for-sale-at-dhungedhara-sano-bharyang-kathmandu-8455/
"House for sale at Chhauni, Kathmandu","Rs.85,000,000",sq m0-12-2-0,"Chhauni, Kathmandu",Kathmandu,4,,,,,,1,https://99aana.com/property/house-for-sale-at-chhauni-kathmandu-8458/
"House for Sale at Kadaghari, Kathmandu",Rs. 1 crore 65 lakh,sq m0-3-0-0,"Kadaghari, Kathmandu",Kathmandu,2.5,11,,,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-8445/
"House for sale at Bharatpur-11, Chitwan","Rs.9,700,000",sq m9.5 dhur,"Bharatpur-11, Chitwan",Chitwan,1,6,4,2,,1,1,https://99aana.com/property/house-for-sale-at-bharatpur-11-chitwan-8450/
"House for sale at Tenzing Chowk, Kapan, Kathmandu","Rs.24,500,000",sq m0-3-2-0,"Tenzing Chowk, Kapan, Kathmandu",Kathmandu,2.5,7,,3,,,1,https://99aana.com/property/house-for-sale-at-tenzing-chowk-kapan-kathmandu-8448/
"House for sale at Jyotinagar, Ekatabasti, Kathmandu","Rs.33,500,000",sq m0-5-3-0,"Jyotinagar, Ektabasti, Kathmandu",Kathmandu,2.5,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-jyotinagar-ekatabasti-kathmandu-8447/
"House for sale at Kapan, Kathmandu",Rs 2 Crore 45 Lakh,sq m0-3-2-0,"Kapan, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-kapan-kathmandu-7-8452/
