title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"Residential House On Sale At Imadol, Lalitpur","1,50,00,000","Lalitpur, Mahalaxmi3 KM From Gwarko Chowk Ring road.",Lalitpur,Two And Half Floors,,5 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7310
House Sale In Satungal,"2,15,00,000","Kathmandu, Chandragiri",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7306
"House On Sale At Baneshwor, Shankhamul","3,50,00,000",KathmanduIn between Shankhamul main road and Liverpool school.,KathmanduIn between Shankhamul main road and Liverpool school.,Five Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7302
"Residential House On Sale At Kapan, Budhanilkantha","1,05,00,000","Kathmandu, Budhanilkantha, Baluwakhani1.5 KM From Special chowk, Man bahadur marg, Budhanilkantha main road.",Kathmandu,One Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7297
"Residential House On Sale At Kapan, Budhanilkantha","1,10,00,000","Kathmandu, Budhanilkantha, Baluwakhani1.5 KM From Special chowk, Man bahadur marg, Budhanilkantha main road.",Kathmandu,One Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7296
"Residential House On Sale At Jyotinagar, Kapan","2,90,00,000","Kathmandu, Budhanilkantha, Jyotinagar2 KM from Sukeedhara Chowk, Ring Road.",Kathmandu,Three Floors,,6 Bed Room,6 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7293
"Residential House On Sale At Pasikot, Budhanilkantha","2,50,00,000","Kathmandu, Budhanilkantha, Pasikot800 meters near from Chapali Ghumti Chowk, Budhanilkantha Main road.",Kathmandu,Three Floors,,6 Bed Room,4 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7288
"Commercial / Residential House On Sale At Budhanilkantha, Chunikhel","1,90,00,000","Kathmandu, Budhanilkantha, Chunikhel",Kathmandu,Two And Half Floors,,5 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7284
Residential Apartment On Sale At Sanepa Area:- 638 Sq.Ft.,"1,10,00,000",LalitpurBajra and Sangrilla Residency.,LalitpurBajra and Sangrilla Residency.,Fourth Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7283
"Residential Semi Bungalow On Sale At Greenland, Tokha","2,90,00,000","Kathmandu, Tokha, Gairigaun500 meters from Basundhara Chowk Ring Road.",Kathmandu,Two And Half Floors,,7 Bed Room,8 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7278
"Residential House On Sale At Imadol, Lalitpur","2,00,00,000","Lalitpur, Mahalaxmi2 KM From Gwarko Chowk Ring road, Nearby Krishna mandir.",Lalitpur,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7276
"Commercial Cum Residential Building On Sale / Rent At Kandaghari, Kathmandu","3,75,00,000","Kathmandu, Kageshwari Manohara, Force ParkWard no.7, Nearby Gandhi School and Birendra Chowk.",Kathmandu,Three Floors,,4 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7274
"Residential House On Sale At Aani Gumba , Kapan, Kathmandu","1,60,00,000","Kathmandu, Budhanilkantha, Aani Gumba1.5 KM From Gopikrishna Cinema, Ring Road.",Kathmandu,Three Floors,,5 Bed Room,3 Bath Room,3 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7269
"Residential House On Sale/Rent  At Thecho, Lalitpur","3,00,00,000","Lalitpur, Thecho, BethigalWard no.",Lalitpur,Two And Half Floors,,7 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7268
"Residential House On Sale/Rent  At Thecho, Lalitpur","3,00,00,000","Lalitpur, Thecho, BethigalWard no.",Lalitpur,Two And Half Floors,,7 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7268
